Station,Season,Layer,Ensemble Mean,CFSR,ERA-Interim,ERA5,ERA5-Land,JRA55,MERRA2,GLDAS-Noah,GLDAS-CLSM
-4.967822580647849,Cold_Top,0cm - 30cm,-7.093292236328125,-7.480072021484375,-8.5120849609375,-7.311309814453125,-3.402618408203125,-11.45159912109375,-4.10546875,-7.606475830078125,-6.8768310546875
-8.546986818586111,Cold_Top,0cm - 30cm,-11.021209716796877,-11.8394775390625,-16.54437255859375,-13.077362060546875,-4.664093017578125,-19.56318664550781,-5.5487060546875,-9.762481689453123,-7.169921875
-10.551010927196236,Cold_Top,0cm - 30cm,-12.3038330078125,-12.949310302734375,-18.9149169921875,-11.333221435546875,-6.001068115234375,-19.33554077148437,-8.8956298828125,-10.14990234375,-10.851104736328123
-11.867190860801074,Cold_Top,0cm - 30cm,-16.140625,-19.523483276367188,-26.471893310546875,-13.869903564453125,-6.730377197265625,-23.70819091796875,-12.682830810546875,-12.236724853515625,-13.901580810546875
-11.889897693836307,Cold_Top,0cm - 30cm,-17.372970581054688,-23.09330749511719,-27.70849609375,-15.379852294921875,-6.318206787109375,-22.390213012695312,-14.93389892578125,-13.58428955078125,-15.575531005859375
-10.249069780379033,Cold_Top,0cm - 30cm,-16.932281494140625,-21.417022705078125,-26.540054321289066,-16.47979736328125,-5.95831298828125,-23.01448059082031,-14.452239990234375,-13.1207275390625,-14.475677490234375
-8.957148662705556,Cold_Top,0cm - 30cm,-14.6441650390625,-15.919647216796875,-25.00865173339844,-18.50019836425781,-6.1209716796875,-11.585723876953125,-13.918975830078125,-12.928924560546875,-13.170318603515625
-2.69836488211828,Cold_Top,0cm - 30cm,-4.5599365234375,-4.19659423828125,-5.450927734375,-5.5059814453125,-2.339874267578125,-6.755584716796875,-2.46136474609375,-5.42657470703125,-4.342498779296875
-13.253591242863893,Cold_Top,0cm - 30cm,-16.03253173828125,-17.561965942382812,-20.530502319335934,-19.596237182617188,-5.7684326171875,-21.05821228027344,-6.849456787109375,-18.36972045898437,-18.525787353515625
-10.116437736586024,Cold_Top,0cm - 30cm,-13.280242919921875,-16.692779541015625,-17.348678588867188,-12.327728271484375,-5.5010986328125,-17.066650390625,-7.465179443359375,-14.678192138671875,-15.161529541015625
-15.826574884295699,Cold_Top,0cm - 30cm,-18.89556884765625,-22.98225402832031,-28.370758056640625,-20.184158325195312,-7.512115478515625,-25.2861328125,-12.9227294921875,-15.902679443359375,-18.003692626953125
-15.022976329267856,Cold_Top,0cm - 30cm,-17.8519287109375,-20.934982299804688,-27.44781494140625,-20.066558837890625,-7.262298583984375,-20.93515014648437,-14.058380126953125,-15.07855224609375,-17.03173828125
-14.850682684704294,Cold_Top,0cm - 30cm,-19.23646545410156,-21.799102783203125,-30.36967468261719,-22.9854736328125,-8.011505126953125,-21.065704345703125,-15.62457275390625,-16.226409912109375,-17.809295654296875
-9.751366898569444,Cold_Top,0cm - 30cm,-14.63299560546875,-14.7066650390625,-23.46296691894531,-21.9815673828125,-7.032440185546875,-9.730438232421877,-12.537445068359375,-14.433319091796875,-13.179107666015625
-1.5240991258387098,Cold_Top,0cm - 30cm,-4.0623779296875,-4.25640869140625,-3.873321533203125,-4.030426025390625,-1.58233642578125,-5.91448974609375,-1.938201904296875,-6.034088134765625,-4.86968994140625
-4.631681249933333,Cold_Top,0cm - 30cm,-9.129119873046877,-8.917236328125,-16.370849609375,-8.770111083984375,-2.702484130859375,-18.197967529296875,-3.60284423828125,-7.48040771484375,-6.991180419921875
-2.075768481177419,Cold_Top,0cm - 30cm,-9.13641357421875,-9.048492431640623,-17.25164794921875,-8.75390625,-2.93341064453125,-17.01947021484375,-4.97540283203125,-7.4522705078125,-5.656707763671875
-4.969041330645161,Cold_Top,0cm - 30cm,-14.326934814453125,-16.500946044921875,-27.33378601074219,-11.724273681640625,-3.939300537109375,-26.713043212890625,-8.75042724609375,-10.382904052734377,-9.270782470703123
-6.072618175275863,Cold_Top,0cm - 30cm,-12.890655517578125,-15.490966796875,-23.684844970703125,-10.54766845703125,-4.107269287109375,-16.784637451171875,-9.858245849609377,-10.666015625,-11.98565673828125
-8.970982190758065,Cold_Top,0cm - 30cm,-15.65118408203125,-16.0850830078125,-29.3927001953125,-14.82073974609375,-5.5155029296875,-20.88807678222656,-12.26934814453125,-12.32550048828125,-13.912445068359375
-5.753388194433332,Cold_Top,0cm - 30cm,-10.511749267578123,-11.835418701171875,-20.52455139160156,-12.849212646484375,-3.956207275390625,-6.264495849609375,-9.202545166015623,-10.50933837890625,-8.952239990234375
-1.8157362230806453,Cold_Top,0cm - 30cm,-3.626739501953125,-3.61907958984375,-3.263275146484375,-3.815460205078125,-1.56842041015625,-5.746826171875,-2.2562255859375,-4.86639404296875,-3.878173828125
-9.155796527866666,Cold_Top,0cm - 30cm,-13.83489990234375,-12.442138671875,-16.310577392578125,-18.388458251953125,-8.72235107421875,-16.0770263671875,-10.045196533203123,-13.841766357421875,-14.851776123046875
-13.837369287532258,Cold_Top,0cm - 30cm,-18.703842163085934,-16.1861572265625,-21.82774353027344,-22.240402221679688,-13.885223388671875,-20.775177001953125,-16.124481201171875,-19.95552062988281,-18.636016845703125
-9.239621975435485,Cold_Top,0cm - 30cm,-14.075592041015625,-14.113128662109375,-16.584564208984375,-13.032196044921875,-7.703765869140625,-17.619903564453125,-12.571563720703125,-15.832733154296875,-15.146942138671875
-10.441671131285716,Cold_Top,0cm - 30cm,-15.534332275390625,-15.23919677734375,-22.08489990234375,-14.181884765625,-6.473663330078125,-20.69248962402344,-13.8228759765625,-15.8577880859375,-15.921875
-10.71981552398387,Cold_Top,0cm - 30cm,-15.041778564453125,-14.346038818359375,-22.504409790039066,-16.531036376953125,-6.4532470703125,-15.52203369140625,-13.854736328125,-15.54046630859375,-15.5821533203125
-9.43171041705,Cold_Top,0cm - 30cm,-13.923858642578125,-13.512969970703125,-20.531890869140625,-16.839263916015625,-6.51507568359375,-11.43536376953125,-13.187103271484375,-15.03082275390625,-14.338470458984375
-2.050745631693548,Cold_Top,0cm - 30cm,-7.739288330078125,-8.376983642578125,-10.65240478515625,-11.33258056640625,-4.70843505859375,-4.203948974609375,-7.63470458984375,-9.636566162109377,-5.368743896484375
-1.7424937500833333,Cold_Top,0cm - 30cm,-5.28082275390625,-5.178802490234375,-8.235107421875,-2.332794189453125,-1.61114501953125,-13.47589111328125,-1.805999755859375,-5.398284912109375,-4.208526611328125
-1.9297846102096767,Cold_Top,0cm - 30cm,-7.076995849609375,-7.0701904296875,-13.513458251953125,-1.417449951171875,-2.515106201171875,-15.9517822265625,-3.0836181640625,-7.098724365234375,-5.96563720703125
-2.2720211693709684,Cold_Top,0cm - 30cm,-7.271331787109375,-7.78948974609375,-11.81634521484375,-1.05914306640625,-3.1395263671875,-13.414703369140625,-5.56634521484375,-8.66131591796875,-6.723663330078125
-4.257394345178572,Cold_Top,0cm - 30cm,-8.457275390625,-8.691009521484375,-11.528778076171875,-1.42889404296875,-4.345062255859375,-17.388626098632812,-5.676544189453125,-9.708892822265623,-8.890472412109375
-5.861306115548388,Cold_Top,0cm - 30cm,-8.83837890625,-9.127716064453123,-12.1148681640625,-1.977813720703125,-5.176361083984375,-12.657867431640625,-8.100982666015625,-10.619293212890623,-10.932037353515623
-3.7214326389166654,Cold_Top,0cm - 30cm,-6.922393798828125,-7.400787353515625,-10.267242431640623,-3.368072509765625,-4.22698974609375,-6.499114990234375,-6.97186279296875,-9.552764892578123,-7.092254638671875
-11.746967741935485,Cold_Top,0cm - 30cm,-17.426666259765625,-8.848724365234375,-29.3028564453125,-17.210464477539062,-8.709197998046875,-23.392852783203125,-15.800445556640625,-16.97650146484375,-19.172332763671875
-8.207677777777779,Cold_Top,0cm - 30cm,-13.198638916015625,-7.307708740234375,-23.37069702148437,-16.7354736328125,-7.502410888671875,-10.5694580078125,-12.181488037109375,-14.211517333984375,-13.710235595703125
-3.3512688172043013,Cold_Top,0cm - 30cm,-5.248504638671875,-4.1614990234375,-8.92193603515625,-8.336639404296875,-4.1856689453125,-1.65985107421875,-4.8751220703125,-7.048248291015625,-2.7991943359375
